Gene stable ID,Gene stable ID version,Transcript stable ID,Transcript stable ID version
ENSG00000251841,ENSG00000251841.1,ENST00000516032,ENST00000516032.1
ENSG00000184895,ENSG00000184895.8,ENST00000383070,ENST00000383070.2
ENSG00000237659,ENSG00000237659.1,ENST00000454281,ENST00000454281.1
ENSG00000232195,ENSG00000232195.1,ENST00000430735,ENST00000430735.1
ENSG00000286130,ENSG00000286130.1,ENST00000651710,ENST00000651710.1
ENSG00000129824,ENSG00000129824.16,ENST00000250784,ENST00000250784.13
ENSG00000129824,ENSG00000129824.16,ENST00000430575,ENST00000430575.1
ENSG00000129824,ENSG00000129824.16,ENST00000477725,ENST00000477725.1
ENSG00000129824,ENSG00000129824.16,ENST00000515575,ENST00000515575.1
ENSG00000227289,ENSG00000227289.2,ENST00000444242,ENST00000444242.1
ENSG00000227289,ENSG00000227289.2,ENST00000652562,ENST00000652562.1
ENSG00000229163,ENSG00000229163.2,ENST00000414182,ENST00000414182.2
ENSG00000278847,ENSG00000278847.1,ENST00000611750,ENST00000611750.1
ENSG00000067646,ENSG00000067646.12,ENST00000383052,ENST00000383052.5
ENSG00000067646,ENSG00000067646.12,ENST00000625061,ENST00000625061.3
ENSG00000067646,ENSG00000067646.12,ENST00000469869,ENST00000469869.1
ENSG00000067646,ENSG00000067646.12,ENST00000443793,ENST00000443793.1
ENSG00000067646,ENSG00000067646.12,ENST00000449237,ENST00000449237.4
ENSG00000067646,ENSG00000067646.12,ENST00000478783,ENST00000478783.1
ENSG00000067646,ENSG00000067646.12,ENST00000155093,ENST00000155093.8
ENSG00000233070,ENSG00000233070.1,ENST00000417305,ENST00000417305.1
ENSG00000233070,ENSG00000233070.1,ENST00000431145,ENST00000431145.1
ENSG00000223600,ENSG00000223600.1,ENST00000414667,ENST00000414667.1
ENSG00000231535,ENSG00000231535.7,ENST00000652068,ENST00000652068.1
ENSG00000231535,ENSG00000231535.7,ENST00000651090,ENST00000651090.1
ENSG00000231535,ENSG00000231535.7,ENST00000444263,ENST00000444263.6
ENSG00000231535,ENSG00000231535.7,ENST00000425031,ENST00000425031.1
