Set ID	Set N	Kuiper p-value (vs. background)	Kuiper q-value (vs. background)	Kuiper p-value (vs. uniform)	Kuiper q-value (vs. uniform)	Vector-average magnitude	Vector-average value
PID_CONE_PATHWAY	0	NA	NA	NA	NA	NA	NA
PID_IL5_PATHWAY	0	NA	NA	NA	NA	NA	NA
BANDRES_RESPONSE_TO_CARMUSTIN_WITHOUT_MGMT_24HR_UP	0	NA	NA	NA	NA	NA	NA
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS	0	NA	NA	NA	NA	NA	NA
BIOCARTA_ECM_PATHWAY	0	NA	NA	NA	NA	NA	NA
LIU_CMYB_TARGETS_DN	0	NA	NA	NA	NA	NA	NA
REACTOME_ASSEMBLY_OF_THE_ORC_COMPLEX_AT_THE_ORIGIN_OF_REPLICATION	0	NA	NA	NA	NA	NA	NA
NELSON_RESPONSE_TO_ANDROGEN_DN	0	NA	NA	NA	NA	NA	NA
WP_SARSCOV2_B117_VARIANT_ANTAGONISES_INNATE_IMMUNE_ACTIVATION	0	NA	NA	NA	NA	NA	NA
BIOCARTA_PLK3_PATHWAY	0	NA	NA	NA	NA	NA	NA
REACTOME_INTESTINAL_ABSORPTION	0	NA	NA	NA	NA	NA	NA
REACTOME_SPERM_MOTILITY_AND_TAXES	0	NA	NA	NA	NA	NA	NA
KORKOLA_EMBRYONIC_CARCINOMA_VS_SEMINOMA_UP	0	NA	NA	NA	NA	NA	NA
WP_CANCER_IMMUNOTHERAPY_BY_PD1_BLOCKADE	0	NA	NA	NA	NA	NA	NA
PID_THROMBIN_PAR4_PATHWAY	0	NA	NA	NA	NA	NA	NA
REACTOME_SLBP_DEPENDENT_PROCESSING_OF_REPLICATION_DEPENDENT_HISTONE_PRE_MRNAS	0	NA	NA	NA	NA	NA	NA
REACTOME_DEFECTIVE_CHST14_CAUSES_EDS_MUSCULOCONTRACTURAL_TYPE	0	NA	NA	NA	NA	NA	NA
REACTOME_TOXICITY_OF_BOTULINUM_TOXIN_TYPE_D_BOTD	0	NA	NA	NA	NA	NA	NA
PID_PS1_PATHWAY	0	NA	NA	NA	NA	NA	NA
